Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2013/10/31,GOOG,GOOG,S,BATS,1459
2013/11/01,GOOG,GOOG,S,BATS,10794
2013/11/04,GOOG,GOOG,S,BATS,1200
2013/11/05,GOOG,GOOG,S,BATS,1535
2013/11/06,GOOG,GOOG,S,BATS,683
2013/11/07,GOOG,GOOG,S,BATS,2476
2013/11/08,GOOG,GOOG,S,BATS,1430
2013/11/11,GOOG,GOOG,S,BATS,1481
2013/11/12,GOOG,GOOG,S,BATS,1420
2013/11/13,GOOG,GOOG,S,BATS,1863
2013/11/14,GOOG,GOOG,S,BATS,3145
2013/11/15,GOOG,GOOG,S,BATS,2064
2013/11/18,GOOG,GOOG,S,BATS,3292
2013/11/19,GOOG,GOOG,S,BATS,1039
2013/11/20,GOOG,GOOG,S,BATS,1357
2013/11/21,GOOG,GOOG,S,BATS,1649
2013/11/22,GOOG,GOOG,S,BATS,1444
2013/11/25,GOOG,GOOG,S,BATS,2666
2013/11/26,GOOG,GOOG,S,BATS,2367
2013/11/27,GOOG,GOOG,S,BATS,1552
2013/11/29,GOOG,GOOG,S,BATS,1716
2013/12/02,GOOG,GOOG,S,BATS,1245
2013/12/03,GOOG,GOOG,S,BATS,1099
2013/12/04,GOOG,GOOG,S,BATS,795
2013/12/05,GOOG,GOOG,S,BATS,569
2013/12/06,GOOG,GOOG,S,BATS,1410
2013/12/09,GOOG,GOOG,S,BATS,1611
2013/12/10,GOOG,GOOG,S,BATS,2150
2013/12/11,GOOG,GOOG,S,BATS,1631
2013/12/12,GOOG,GOOG,S,BATS,1484
2013/12/13,GOOG,GOOG,S,BATS,3367
2013/12/16,GOOG,GOOG,S,BATS,1191
2013/12/17,GOOG,GOOG,S,BATS,1246
2013/12/18,GOOG,GOOG,S,BATS,2005
2013/12/19,GOOG,GOOG,S,BATS,2020
2013/12/20,GOOG,GOOG,S,BATS,4226
2013/12/23,GOOG,GOOG,S,BATS,1742
2013/12/24,GOOG,GOOG,S,BATS,992
2013/12/26,GOOG,GOOG,S,BATS,887
2013/12/27,GOOG,GOOG,S,BATS,3441
2013/12/30,GOOG,GOOG,S,BATS,1903
2013/12/31,GOOG,GOOG,S,BATS,1962
2014/01/02,GOOG,GOOG,S,BATS,2143
2014/01/03,GOOG,GOOG,S,BATS,3334
2014/01/06,GOOG,GOOG,S,BATS,2689
2014/01/07,GOOG,GOOG,S,BATS,4205
2014/01/08,GOOG,GOOG,S,BATS,2883
2014/01/09,GOOG,GOOG,S,BATS,3965
2014/01/10,GOOG,GOOG,S,BATS,5093
2014/01/13,GOOG,GOOG,S,BATS,3806
2014/01/14,GOOG,GOOG,S,BATS,4529
2014/01/15,GOOG,GOOG,S,BATS,5997
2014/01/16,GOOG,GOOG,S,BATS,3177
2014/01/17,GOOG,GOOG,S,BATS,5286
2014/01/21,GOOG,GOOG,S,BATS,2469
2014/01/22,GOOG,GOOG,S,BATS,1755
2014/01/23,GOOG,GOOG,S,BATS,2379
2014/01/24,GOOG,GOOG,S,BATS,7891
2014/01/27,GOOG,GOOG,S,BATS,5085
2014/01/28,GOOG,GOOG,S,BATS,2841
2014/01/29,GOOG,GOOG,S,BATS,2298
2014/01/30,GOOG,GOOG,S,BATS,7794
