Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2013/11/05,MSFT,MSFT,S,BATS,6620
2013/11/06,MSFT,MSFT,S,BATS,22564
2013/11/07,MSFT,MSFT,S,BATS,3877
2013/11/08,MSFT,MSFT,S,BATS,2921
2013/11/11,MSFT,MSFT,S,BATS,2494
2013/11/12,MSFT,MSFT,S,BATS,2097
2013/11/13,MSFT,MSFT,S,BATS,4672
2013/11/14,MSFT,MSFT,S,BATS,9972
2013/11/15,MSFT,MSFT,S,BATS,6270
2013/11/18,MSFT,MSFT,S,BATS,9406
2013/11/19,MSFT,MSFT,S,BATS,13359
2013/11/20,MSFT,MSFT,S,BATS,3625
2013/11/21,MSFT,MSFT,S,BATS,4070
2013/11/22,MSFT,MSFT,S,BATS,13989
2013/11/25,MSFT,MSFT,S,BATS,5527
2013/11/26,MSFT,MSFT,S,BATS,2549
2013/11/27,MSFT,MSFT,S,BATS,3119
2013/11/29,MSFT,MSFT,S,BATS,4140
2013/12/02,MSFT,MSFT,S,BATS,10045
2013/12/03,MSFT,MSFT,S,BATS,6221
2013/12/04,MSFT,MSFT,S,BATS,9581
2013/12/05,MSFT,MSFT,S,BATS,33169
2013/12/06,MSFT,MSFT,S,BATS,9927
2013/12/09,MSFT,MSFT,S,BATS,6120
2013/12/10,MSFT,MSFT,S,BATS,7135
2013/12/11,MSFT,MSFT,S,BATS,2563
2013/12/12,MSFT,MSFT,S,BATS,3097
2013/12/13,MSFT,MSFT,S,BATS,5886
2013/12/16,MSFT,MSFT,S,BATS,5272
2013/12/17,MSFT,MSFT,S,BATS,11727
2013/12/18,MSFT,MSFT,S,BATS,7944
2013/12/19,MSFT,MSFT,S,BATS,4707
2013/12/20,MSFT,MSFT,S,BATS,4674
2013/12/23,MSFT,MSFT,S,BATS,2531
2013/12/24,MSFT,MSFT,S,BATS,2179
2013/12/26,MSFT,MSFT,S,BATS,3000
2013/12/27,MSFT,MSFT,S,BATS,2046
2013/12/30,MSFT,MSFT,S,BATS,3547
2013/12/31,MSFT,MSFT,S,BATS,2355
2014/01/02,MSFT,MSFT,S,BATS,4008
2014/01/03,MSFT,MSFT,S,BATS,3940
